@relation BNBUSD-N2Y
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric

@data
2019-11-09,19.678764,19.984583,19.60043,19.735447,19.735447,176812608
2019-11-10,19.732647,20.631216,19.727482,20.481758,20.481758,239714468
2019-11-11,20.479851,20.644917,19.915712,20.133141,20.133141,209454454
2019-11-12,20.140926,20.862392,20.094767,20.857447,20.857447,227650068
2019-11-13,20.868423,21.635714,20.706499,21.250431,21.250431,252296146
2019-11-14,21.281357,21.512638,20.973976,21.2647,21.2647,237992230
2019-11-15,21.24172,21.294973,20.177896,20.316225,20.316225,225530775
2019-11-16,20.317408,20.634136,20.092073,20.282654,20.282654,211016746
2019-11-17,20.276932,20.620121,20.030483,20.260794,20.260794,224982344
2019-11-18,20.343597,20.432167,18.936802,19.31687,19.31687,224380017
2019-11-19,19.311863,19.633316,18.37516,18.703299,18.703299,206923366
2019-11-20,18.707344,18.927099,17.851746,18.172274,18.172274,210091849
2019-11-21,18.162695,18.187632,16.620432,16.840218,16.840218,228429806
2019-11-22,16.840914,17.27018,14.68926,15.581703,15.581703,341456274
2019-11-23,15.581233,16.466188,15.151496,16.4195,16.4195,255961052
2019-11-24,16.398693,16.49132,15.278765,15.278765,15.278765,232363837
2019-11-25,15.285519,15.735272,14.195353,15.267364,15.267364,242510343
2019-11-26,15.272529,15.861213,15.225184,15.527255,15.527255,205893351
2019-11-27,15.49125,16.195232,14.94318,16.098288,16.098288,255021618
2019-11-28,16.095964,16.22864,15.64867,15.683207,15.683207,194516396
2019-11-29,15.678064,16.340714,15.645951,16.273304,16.273304,250074235
2019-11-30,16.263498,16.370699,15.539147,15.715951,15.715951,213428131
2019-12-01,15.743181,15.743181,15.054234,15.496336,15.496336,203268417
2019-12-02,15.509364,15.707174,15.152545,15.191858,15.191858,200809249
2019-12-03,15.191858,15.553175,15.048669,15.309556,15.309556,219927266
2019-12-04,15.34843,15.690587,15.009685,15.279978,15.279978,237605471
2019-12-05,15.260217,16.07777,14.949402,15.762839,15.762839,255410908
2019-12-06,15.767198,15.856934,15.454587,15.711299,15.711299,236694082
2019-12-07,15.70438,15.848582,15.632491,15.667086,15.667086,242693199
2019-12-08,15.662826,15.85143,15.509327,15.674523,15.674523,223721643
2019-12-09,15.66612,15.852706,15.350243,15.448539,15.448539,209955476
2019-12-10,15.438838,15.470151,14.780955,14.95887,14.95887,192615787
2019-12-11,14.947534,15.121334,14.710326,14.824551,14.824551,170909631
2019-12-12,14.819622,14.895612,14.557363,14.818167,14.818167,165964330
2019-12-13,14.817257,14.995106,14.740262,14.878744,14.878744,177476227
2019-12-14,14.883237,15.01233,14.371337,14.505015,14.505015,173092733
2019-12-15,14.512482,14.569659,14.188992,14.490446,14.490446,167670329
2019-12-16,14.488743,14.525597,13.458653,13.558786,13.558786,178952097
2019-12-17,13.555481,13.577941,12.183731,12.386941,12.386941,186995962
2019-12-18,12.381698,13.606532,12.286786,13.53526,13.53526,234697405
2019-12-19,13.568222,13.784852,12.966154,13.445779,13.445779,174965245
2019-12-20,13.459491,13.593329,13.231406,13.570779,13.570779,203861105
2019-12-21,13.568091,13.583239,13.329004,13.380659,13.380659,192827533
2019-12-22,13.390246,13.851878,13.368338,13.835881,13.835881,204111890
2019-12-23,13.810485,13.999125,13.305709,13.369034,13.369034,159105887
2019-12-24,13.381392,13.7683,13.326156,13.444571,13.444571,177372409
2019-12-25,13.459056,13.476138,13.065144,13.174839,13.174839,152718120
2019-12-26,13.176804,13.523954,13.156742,13.208636,13.208636,157660620
2019-12-27,13.208636,13.439774,13.123028,13.36272,13.36272,164413385
2019-12-28,13.35341,13.793531,13.334934,13.705417,13.705417,197525901
2019-12-29,13.696836,14.225638,13.646328,14.150045,14.150045,225354585
2019-12-30,14.155132,14.470634,13.924362,13.947442,13.947442,187275635
2019-12-31,13.952087,14.095331,13.648682,13.727642,13.727642,166278254
2020-01-01,13.730962,13.873946,13.654942,13.689083,13.689083,172980718
2020-01-02,13.698126,13.715548,12.989974,13.027011,13.027011,156376427
2020-01-03,13.035329,13.763709,13.012638,13.660452,13.660452,173683857
2020-01-04,13.667442,13.921914,13.560008,13.891512,13.891512,182230374
2020-01-05,13.88834,14.410801,13.886547,14.111019,14.111019,202552703
2020-01-06,14.11124,15.003565,14.11124,14.957808,14.957808,224800409
2020-01-07,14.966209,15.135275,14.568403,15.00925,15.00925,191948560
2020-01-08,15.022264,15.242219,14.337952,14.602934,14.602934,183632222
2020-01-09,14.589202,14.611089,14.305363,14.498314,14.498314,169699829
2020-01-10,14.478409,15.027689,14.182085,15.025826,15.025826,200173072
2020-01-11,15.020985,15.250237,14.779474,14.946328,14.946328,201663503
2020-01-12,14.946201,15.472109,14.869891,15.322083,15.322083,231150158
2020-01-13,15.322261,15.355387,14.991216,15.227272,15.227272,211785744
2020-01-14,15.215287,16.790661,15.194401,16.626122,16.626122,299316969
2020-01-15,16.603867,18.09627,16.394423,17.654812,17.654812,380806616
2020-01-16,17.646402,17.660793,16.439848,17.076946,17.076946,260423404
2020-01-17,17.112799,18.361832,17.08893,18.135199,18.135199,347229168
2020-01-18,18.129646,18.31448,17.555157,17.823919,17.823919,257317647
2020-01-19,17.83099,18.437756,16.841072,17.369253,17.369253,266285621
2020-01-20,17.392525,17.553738,16.864424,17.325275,17.325275,245125919
2020-01-21,17.327684,18.146685,17.169216,18.127666,18.127666,295922233
2020-01-22,18.124231,18.353712,17.598785,17.798361,17.798361,237634401
2020-01-23,17.811354,17.817013,16.787476,17.021404,17.021404,221009513
2020-01-24,17.031307,17.395035,16.489698,17.047409,17.047409,213341615
2020-01-25,17.049412,17.109013,16.603247,16.976107,16.976107,208315919
2020-01-26,16.973331,17.494526,16.873783,17.438633,17.438633,248646036
2020-01-27,17.443195,17.895115,17.279787,17.691341,17.691341,227584506
2020-01-28,17.683529,18.115135,17.499954,18.115135,18.115135,257579475
2020-01-29,18.066244,18.433632,17.883757,17.912777,17.912777,221674739
2020-01-30,17.920179,18.703236,17.730593,18.590408,18.590408,264686498
2020-01-31,18.590302,18.840961,17.854555,18.210979,18.210979,245035922
2020-02-01,18.202803,18.570148,18.067001,18.218321,18.218321,238461925
2020-02-02,18.202562,18.769257,17.897087,18.448185,18.448185,256209045
2020-02-03,18.45068,18.78767,18.227545,18.462755,18.462755,227749150
2020-02-04,18.466125,18.595591,17.904842,18.177366,18.177366,213533737
2020-02-05,18.195305,19.407156,18.170576,19.21505,19.21505,301486499
2020-02-06,19.229057,20.79269,19.077112,20.595263,20.595263,394704716
2020-02-07,20.583084,22.479801,20.467651,22.062258,22.062258,485529457
2020-02-08,22.057981,22.165306,20.977909,21.782419,21.782419,376067881
2020-02-09,21.757261,24.308561,21.748989,24.308561,24.308561,523664695
2020-02-10,24.342674,25.8132,23.548456,25.218315,25.218315,730144278
2020-02-11,25.261606,25.702721,24.195768,25.637403,25.637403,567226060
2020-02-12,25.657011,26.88055,25.41926,26.466763,26.466763,492328618
2020-02-13,26.463499,27.117456,24.755182,25.4401,25.4401,463998187
2020-02-14,25.434448,26.470024,25.154997,26.296959,26.296959,471534694
2020-02-15,26.300472,26.438311,23.706329,24.149651,24.149651,454859713
2020-02-16,24.22805,25.212297,22.11713,23.466389,23.466389,471225913
2020-02-17,23.421888,23.551378,21.69039,23.551378,23.551378,418783808
2020-02-18,23.521591,24.298689,22.898273,24.058178,24.058178,392689678
2020-02-19,24.074766,24.331917,22.21513,22.333511,22.333511,298250332
2020-02-20,22.35,22.665361,21.320684,22.229147,22.229147,358656850
2020-02-21,22.193645,22.755096,21.87401,22.184877,22.184877,396181352
2020-02-22,22.192751,22.318687,21.673792,21.968481,21.968481,328794302
2020-02-23,21.977989,22.969416,21.977989,22.828871,22.828871,439036993
2020-02-24,22.824919,23.245483,21.607086,22.044127,22.044127,357640680
2020-02-25,22.144562,22.144562,20.201307,20.34247,20.34247,356163893
2020-02-26,20.359814,20.519814,18.137678,18.799131,18.799131,443909390
2020-02-27,18.788363,19.615055,17.824158,19.122568,19.122568,406092296
2020-02-28,19.072939,19.719519,18.09516,18.854837,18.854837,461435237
