,Date,Open,High,Low,Close,Adj Close,Volume
2315,2021/2/1,33114.57813,34638.21484,32384.22852,33537.17578,33537.17578,61400400660.0
2316,2021/2/2,33533.19922,35896.88281,33489.21875,35510.28906,35510.28906,63088585433.0
2317,2021/2/3,35510.82031,37480.1875,35443.98438,37472.08984,37472.08984,61166818159.0
2318,2021/2/4,37475.10547,38592.17578,36317.5,36926.06641,36926.06641,68838074392.0
2319,2021/2/5,36931.54688,38225.90625,36658.76172,38144.30859,38144.30859,58598066402.0
2320,2021/2/6,38138.38672,40846.54688,38138.38672,39266.01172,39266.01172,71326033653.0
2321,2021/2/7,39250.19141,39621.83594,37446.15234,38903.44141,38903.44141,65500641143.0
2322,2021/2/8,38886.82813,46203.92969,38076.32422,46196.46484,46196.46484,101467000000.0
2323,2021/2/9,46184.99219,48003.72266,45166.96094,46481.10547,46481.10547,91809846886.0
2324,2021/2/10,46469.76172,47145.56641,43881.15234,44918.18359,44918.18359,87301089896.0
2325,2021/2/11,44898.71094,48463.46875,44187.76172,47909.33203,47909.33203,81388911810.0
2326,2021/2/12,47877.03516,48745.73438,46424.97656,47504.85156,47504.85156,76555041196.0
2327,2021/2/13,47491.20313,48047.74609,46392.28125,47105.51563,47105.51563,70250456155.0
2328,2021/2/14,47114.50781,49487.64063,47114.50781,48717.28906,48717.28906,71248675228.0
2329,2021/2/15,48696.53516,48875.57031,46347.47656,47945.05859,47945.05859,77069903166.0
2330,2021/2/16,47944.45703,50341.10156,47201.30469,49199.87109,49199.87109,77049582886.0
2331,2021/2/17,49207.27734,52533.91406,49072.37891,52149.00781,52149.00781,80820545404.0
2332,2021/2/18,52140.97266,52474.10547,51015.76563,51679.79688,51679.79688,52054723579.0
2333,2021/2/19,51675.98047,56113.65234,50937.27734,55888.13281,55888.13281,63495496918.0
2334,2021/2/20,55887.33594,57505.22656,54626.55859,56099.51953,56099.51953,68145460026.0
2335,2021/2/21,56068.56641,58330.57031,55672.60938,57539.94531,57539.94531,51897585191.0
2336,2021/2/22,57532.73828,57533.39063,48967.56641,54207.32031,54207.32031,92052420332.0
2337,2021/2/23,54204.92969,54204.92969,45290.58984,48824.42578,48824.42578,106102000000.0
2338,2021/2/24,48835.08594,51290.13672,47213.5,49705.33203,49705.33203,63695521388.0
2339,2021/2/25,49709.08203,51948.96875,47093.85156,47093.85156,47093.85156,54506565949.0
2340,2021/2/26,47180.46484,48370.78516,44454.84375,46339.76172,46339.76172,350968000000.0
2341,2021/2/27,46344.77344,48253.26953,45269.02734,46188.45313,46188.45313,45910946382.0
2342,2021/2/28,46194.01563,46716.42969,43241.61719,45137.76953,45137.76953,53443887451.0
2343,2021/3/1,45159.50391,49784.01563,45115.09375,49631.24219,49631.24219,53891300112.0
2344,2021/3/2,49612.10547,50127.51172,47228.84375,48378.98828,48378.98828,47530897720.0
2345,2021/3/3,48415.81641,52535.13672,48274.32031,50538.24219,50538.24219,53220811975.0
2346,2021/3/4,50522.30469,51735.08984,47656.92969,48561.16797,48561.16797,52343816680.0
2347,2021/3/5,48527.03125,49396.42969,46542.51563,48927.30469,48927.30469,48625928883.0
2348,2021/3/6,48899.23047,49147.21875,47257.52734,48912.38281,48912.38281,34363564661.0
2349,2021/3/7,48918.67969,51384.36719,48918.67969,51206.69141,51206.69141,43137459378.0
2350,2021/3/8,51174.11719,52314.07031,49506.05469,52246.52344,52246.52344,48597428048.0
2351,2021/3/9,52272.96875,54824.11719,51981.83203,54824.11719,54824.11719,50912227385.0
2352,2021/3/10,54824.01172,57258.25391,53290.89063,56008.55078,56008.55078,57295577614.0
2353,2021/3/11,55963.17969,58091.0625,54484.59375,57805.12109,57805.12109,56772343595.0
2354,2021/3/12,57821.21875,57996.62109,55376.64844,57332.08984,57332.08984,55689944702.0
2355,2021/3/13,57343.37109,61683.86328,56217.97266,61243.08594,61243.08594,60669829814.0
2356,2021/3/14,61221.13281,61597.91797,59302.31641,59302.31641,59302.31641,43901225564.0
2357,2021/3/15,59267.42969,60540.99219,55393.16406,55907.19922,55907.19922,66419369890.0
2358,2021/3/16,55840.78516,56833.17969,53555.02734,56804.90234,56804.90234,59749798599.0
2359,2021/3/17,56825.82813,58969.81641,54528.62891,58870.89453,58870.89453,60258313191.0
2360,2021/3/18,58893.07813,60116.25,54253.57813,57858.92188,57858.92188,55746041000.0
2361,2021/3/19,57850.44141,59498.375,56643.70313,58346.65234,58346.65234,49063873786.0
2362,2021/3/20,58332.26172,60031.28516,58213.29688,58313.64453,58313.64453,50361731222.0
2363,2021/3/21,58309.91406,58767.89844,56005.61719,57523.42188,57523.42188,51943414539.0
2364,2021/3/22,57517.89063,58471.48047,54288.15625,54529.14453,54529.14453,56521454974.0
2365,2021/3/23,54511.66016,55985.44141,53470.69531,54738.94531,54738.94531,56435023914.0
2366,2021/3/24,54710.48828,57262.38281,52514.33203,52774.26563,52774.26563,70567223787.0
2367,2021/3/25,52726.74609,53392.38672,50856.57031,51704.16016,51704.16016,67999812841.0
2368,2021/3/26,51683.01172,55137.3125,51579.85547,55137.3125,55137.3125,56652197978.0
2369,2021/3/27,55137.56641,56568.21484,54242.91016,55973.51172,55973.51172,47266542233.0
2370,2021/3/28,55974.94141,56610.3125,55071.11328,55950.74609,55950.74609,47686580918.0
2371,2021/3/29,55947.89844,58342.09766,55139.33984,57750.19922,57750.19922,57625587027.0
2372,2021/3/30,57750.13281,59447.22266,57251.55078,58917.69141,58917.69141,54414116432.0
2373,2021/3/31,58930.27734,59930.02734,57726.41797,58918.83203,58918.83203,65520826225.0
2374,2021/4/1,58926.5625,59586.07031,58505.27734,59095.80859,59095.80859,61669163792.0
2375,2021/4/2,59098.87891,60267.1875,58869.28125,59384.3125,59384.3125,58727860620.0
2376,2021/4/3,59397.41016,60110.26953,57603.89063,57603.89063,57603.89063,59641344484.0
2377,2021/4/4,57604.83984,58913.74609,57168.67578,58758.55469,58758.55469,50749662970.0
2378,2021/4/5,58760.875,59891.29688,57694.82422,59057.87891,59057.87891,60706272115.0
2379,2021/4/6,59171.93359,59479.57813,57646.80859,58192.35938,58192.35938,66058027988.0
2380,2021/4/7,58186.50781,58731.14453,55604.02344,56048.9375,56048.9375,75645303584.0
2381,2021/4/8,56099.91406,58338.73828,55879.08594,58323.95313,58323.95313,53053855641.0
2382,2021/4/9,58326.5625,58937.04688,57807.86328,58245.00391,58245.00391,46655208546.0
2383,2021/4/10,58253.77734,61276.66406,58038.70703,59793.23438,59793.23438,58238470525.0
2384,2021/4/11,59846.23047,60790.55469,59289.79688,60204.96484,60204.96484,46280252580.0
2385,2021/4/12,60175.94531,61253.03516,59589.875,59893.45313,59893.45313,51828688519.0
2386,2021/4/13,59890.01953,63742.28516,59869.95703,63503.45703,63503.45703,69983454362.0
2387,2021/4/14,63523.75391,64863.09766,61554.79688,63109.69531,63109.69531,77451779687.0
2388,2021/4/15,63075.19531,63821.67188,62208.96484,63314.01172,63314.01172,60954381579.0
2389,2021/4/16,63258.50391,63594.72266,60222.53125,61572.78906,61572.78906,84293007468.0
2390,2021/4/17,61529.92188,62572.17578,60361.35156,60683.82031,60683.82031,66138759198.0
2391,2021/4/18,60701.88672,61057.45703,52829.53516,56216.18359,56216.18359,97468872758.0
2392,2021/4/19,56191.58594,57520.05469,54368.59375,55724.26563,55724.26563,65344865159.0
2393,2021/4/20,55681.79297,57062.14844,53448.04688,56473.03125,56473.03125,67849323955.0
2394,2021/4/21,56471.12891,56757.97266,53695.46875,53906.08984,53906.08984,54926612466.0
2395,2021/4/22,53857.10547,55410.23047,50583.8125,51762.27344,51762.27344,74798630778.0
2396,2021/4/23,51739.80859,52120.79297,47714.66406,51093.65234,51093.65234,86668667320.0
2397,2021/4/24,51143.22656,51167.5625,48805.28516,50050.86719,50050.86719,49014494781.0
2398,2021/4/25,50052.83203,50506.01953,47159.48438,49004.25391,49004.25391,46117114240.0
2399,2021/4/26,49077.79297,54288.00391,48852.79688,54021.75391,54021.75391,58284039825.0
2400,2021/4/27,54030.30469,55416.96484,53319.1875,55033.11719,55033.11719,49448222757.0
2401,2021/4/28,55036.63672,56227.20703,53887.91797,54824.70313,54824.70313,48000572955.0
2402,2021/4/29,54858.08984,55115.84375,52418.02734,53555.10938,53555.10938,46088929780.0
2403,2021/4/30,53568.66406,57900.71875,53129.60156,57750.17578,57750.17578,52395931985.0
2404,2021/5/1,57714.66406,58448.33984,57052.27344,57828.05078,57828.05078,42836427360.0
2405,2021/5/2,57825.86328,57902.59375,56141.90625,56631.07813,56631.07813,38177405335.0
2406,2021/5/3,56620.27344,58973.30859,56590.87109,57200.29297,57200.29297,51713139031.0
2407,2021/5/4,57214.17969,57214.17969,53191.42578,53333.53906,53333.53906,68564706967.0
2408,2021/5/5,53252.16406,57911.36328,52969.05469,57424.00781,57424.00781,69241316747.0
2409,2021/5/6,57441.30859,58363.31641,55382.50781,56396.51563,56396.51563,69523285106.0
2410,2021/5/7,56413.95313,58606.63281,55321.84766,57356.40234,57356.40234,68434023376.0
2411,2021/5/8,57352.76563,59464.61328,56975.21094,58803.77734,58803.77734,65382980634.0
2412,2021/5/9,58877.39063,59210.88281,56482.00391,58232.31641,58232.31641,65906690347.0
2413,2021/5/10,58250.87109,59519.35547,54071.45703,55859.79688,55859.79688,71776546298.0
2414,2021/5/11,55847.24219,56872.54297,54608.65234,56704.57422,56704.57422,61308396325.0
2415,2021/5/12,56714.53125,57939.36328,49150.53516,49150.53516,49150.53516,75215403907.0
2416,2021/5/13,49735.43359,51330.84375,46980.01953,49716.19141,49716.19141,96721152926.0
2417,2021/5/14,49682.98047,51438.11719,48868.57813,49880.53516,49880.53516,55737497453.0
2418,2021/5/15,49855.49609,50639.66406,46664.14063,46760.1875,46760.1875,59161047474.0
2419,2021/5/16,46716.63672,49720.04297,43963.35156,46456.05859,46456.05859,64047871555.0
2420,2021/5/17,46415.89844,46623.55859,42207.28906,43537.51172,43537.51172,74903638450.0
2421,2021/5/18,43488.05859,45812.45703,42367.83203,42909.40234,42909.40234,56187365084.0
2422,2021/5/19,42944.97656,43546.11719,30681.49609,37002.44141,37002.44141,126358000000.0
2423,2021/5/20,36753.66797,42462.98438,35050.61719,40782.73828,40782.73828,88281943359.0
2424,2021/5/21,40596.94922,42172.17188,33616.45313,37304.69141,37304.69141,82051616861.0
2425,2021/5/22,37371.03125,38831.05469,35383.68359,37536.63281,37536.63281,57377273240.0
2426,2021/5/23,37531.44922,38289.21875,31227.33984,34770.58203,34770.58203,78469274361.0
2427,2021/5/24,34700.36328,39835.14063,34551.08203,38705.98047,38705.98047,67359584098.0
2428,2021/5/25,38795.78125,39776.35156,36581.42969,38402.22266,38402.22266,56211915803.0
2429,2021/5/26,38392.625,40782.07813,37905.83594,39294.19922,39294.19922,51346735160.0
2430,2021/5/27,39316.89063,40379.61719,37247.90234,38436.96875,38436.96875,43210968721.0
2431,2021/5/28,38507.08203,38856.96875,34779.03906,35697.60547,35697.60547,55200191952.0
2432,2021/5/29,35684.15625,37234.5,33693.92969,34616.06641,34616.06641,45231013335.0
2433,2021/5/30,34607.40625,36400.66797,33520.73828,35678.12891,35678.12891,31646080921.0
2434,2021/5/31,35658.59375,37468.25,34241.94531,37332.85547,37332.85547,39009847639.0
