index,Open,High,Low,Close,Volume,ScorePositive,ScoreNegative,ScoreNeutral,Coin_timestamp
0,46311.74609,47827.3125,46288.48438,47686.8125,24582667004.0,0.0356225706636905,0.955733835697174,0.00864362064749,1640966400.0
1,47680.92578,47881.40625,46856.9375,47345.21875,27951569547.0,0.0352663449570536,0.9461764973402024,0.0085571844410151,1641052800.0
2,47343.54297,47510.72656,45835.96484,46458.11719,33071628362.0,0.1635393658652901,0.5756731793905298,0.2607874605390761,1641139200.0
3,46458.85156,47406.54688,45752.46484,45897.57422,42494677905.0,0.2607602498361042,0.2705902449254478,0.4686494858137199,1641225600.0
4,45899.35938,46929.04688,42798.22266,43569.00391,36851084859.0,0.32102728652535,0.456917886796873,0.2220548497280106,1641312000.0
5,43565.51172,43748.71875,42645.53906,43160.92969,30208048289.0,0.0392780606634914,0.6197622415077474,0.3409597044810653,1641398400.0
6,43153.57031,43153.57031,41077.44531,41557.90234,84196607520.0,0.2333940470901628,0.5039211523253471,0.2626848017486433,1641484800.0
7,41561.46484,42228.94141,40672.27734,41733.94141,28066355845.0,0.0112963300198316,0.9645383954048156,0.0241652969270944,1641571200.0
8,41734.72656,42663.94922,41338.16016,41911.60156,21294384372.0,0.0956677794456482,0.6809554696083069,0.2233767316987117,1641657600.0
9,41910.23047,42199.48438,39796.57031,41821.26172,32104232331.0,0.1807016605910446,0.6167972488994045,0.2025011014193296,1641744000.0
10,41819.50781,43001.15625,41407.75391,42735.85547,26327648900.0,0.2195178090129047,0.4419688506051898,0.3385133296251297,1641830400.0
11,42742.17969,44135.36719,42528.98828,43949.10156,33499938689.0,0.2346498345076623,0.4676875286321673,0.2976626303667823,1641916800.0
12,43946.74219,44278.42188,42447.04297,42591.57031,47691135082.0,0.2604908694584782,0.3835659897528015,0.3559431195832215,1642003200.0
13,42598.87109,43346.6875,41982.61719,43099.69922,23577403399.0,0.1110835149884224,0.5013846552797726,0.3875318499548094,1642089600.0
14,43101.89844,43724.67188,42669.03516,43177.39844,18371348298.0,0.1099726798385381,0.4963708087269748,0.3836565314552613,1642176000.0
15,43172.03906,43436.80859,42691.02344,43113.87891,17902097845.0,0.0497844034495453,0.64435742298762,0.3058582060039043,1642262400.0
16,43118.12109,43179.39063,41680.32031,42250.55078,21690904261.0,0.3416706569259986,0.2865756637766026,0.3717536728363484,1642348800.0
17,42250.07422,42534.40234,41392.21484,42375.63281,22417209227.0,0.0889239820341269,0.633069972662876,0.2780060373867551,1642435200.0
18,42374.03906,42478.30469,41242.91406,41744.32813,23091543258.0,0.211153080348264,0.4420527827671983,0.3467941274019805,1642521600.0
19,41744.02734,43413.02344,40672.82422,40680.41797,20382033940.0,0.0623983417383649,0.4596620557660406,0.477939608591524,1642608000.0
20,40699.60547,41060.52734,35791.42578,36457.31641,43011992031.0,0.1446419471282173,0.5182750961235301,0.3370829590342261,1642694400.0
21,36471.58984,36688.8125,34349.25,35030.25,39714385405.0,0.1431955276569351,0.5130923451622947,0.3337121294438839,1642780800.0
22,35047.35938,36433.3125,34784.96875,36276.80469,26017975951.0,0.0281283712635437,0.6544167002042135,0.3174549359828233,1642867200.0
23,36275.73438,37247.51953,33184.05859,36654.32813,41856658597.0,0.1865831458797821,0.5640105071405952,0.2494063559346474,1642953600.0
24,36654.80469,37444.57031,35779.42969,36954.00391,26428189594.0,0.2371721947565674,0.3615898717460887,0.4012379135404314,1643040000.0
25,36950.51563,38825.41016,36374.90625,36852.12109,31324598034.0,0.204905656309655,0.6053965982909386,0.1896977517753839,1643126400.0
26,36841.87891,37148.32422,35629.28125,37138.23438,25041426629.0,0.1889148608853037,0.5587967447220132,0.2522883889480279,1643212800.0
27,37128.44531,37952.87891,36211.10938,37784.33203,22238830523.0,0.307073853785793,0.2666367292404175,0.4262894076605638,1643299200.0
28,37780.71484,38576.26172,37406.47266,38138.17969,17194183075.0,0.0262335799634456,0.1069334223866462,0.866832971572876,1643385600.0
29,38151.91797,38266.33984,37437.71094,37917.60156,14643548444.0,0.0606437437236309,0.4705236218869686,0.4688325906172395,1643472000.0
30,37920.28125,38647.26172,36733.57422,38483.125,20734730465.0,0.1311300710182298,0.7484687373719432,0.1204011998223987,1643558400.0
31,38481.76563,39115.13281,38113.66406,38743.27344,20288500328.0,0.1729254245977191,0.2185422078541973,0.608532374176909,1643644800.0
32,38743.71484,38834.61719,36832.73047,36952.98438,19155189416.0,0.2033204001543874,0.3797883874821392,0.4168911943720145,1643731200.0
33,36944.80469,37154.60156,36375.53906,37154.60156,18591534769.0,0.1626459402653078,0.4533274379558861,0.3840266049529115,1643817600.0
34,37149.26563,41527.78516,37093.62891,41500.875,29412210792.0,0.3015215683728456,0.3486454769968986,0.3498329615220427,1643904000.0
35,41501.48047,41847.16406,41038.09766,41441.16406,19652846215.0,0.2985063526891172,0.3451590222269296,0.3463346319068223,1643990400.0
36,41441.12109,42500.78516,41244.90625,42412.43359,16142097334.0,0.4017015993595123,0.0234601441770792,0.5748382806777954,1644076800.0
